total_num_groups 273
new_group 67
16145 -120.192 34.6081
15849 -120.179 34.6089
15830 -120.192 34.6108
15867 -120.43 34.6131
15831 -120.193 34.6168
15866 -120.43 34.6182
15839 -120.209 34.6219
15832 -120.19 34.6224
15840 -120.223 34.625
15841 -120.233 34.6255
15842 -120.25 34.626
15833 -120.188 34.6261
15843 -120.258 34.6269
15834 -120.186 34.6305
15844 -120.282 34.6323
15845 -120.319 34.6582
15846 -120.323 34.6604
15803 -120.422 34.6608
15802 -120.409 34.6618
15847 -120.336 34.6623
15800 -120.342 34.6626
15801 -120.354 34.6633
15835 -120.172 34.6648
15836 -120.169 34.6676
15837 -120.159 34.6734
15838 -120.152 34.6793
15785 -120.154 34.6877
15784 -120.154 34.696
15728 -120.159 34.7039
15729 -120.151 34.7087
15760 -120.162 34.7091
15759 -120.172 34.7169
15794 -120.428 34.7229
15795 -120.429 34.7302
15758 -120.246 34.7426
15604 -120.295 34.7492
15605 -120.279 34.7498
15599 -120.266 34.7524
15603 -120.302 34.7525
15598 -120.271 34.7549
15602 -120.316 34.7549
15600 -120.375 34.7598
15601 -120.34 34.7605
15798 -120.424 34.762
15799 -120.421 34.7664
15535 -120.422 34.7724
15534 -120.422 34.7795
15597 -120.306 34.7843
15735 -120.171 34.7848
15596 -120.322 34.7935
15736 -120.198 34.7986
15595 -120.328 34.7986
15737 -120.222 34.8173
15738 -120.232 34.8191
15594 -120.341 34.8215
15739 -120.236 34.822
15593 -120.356 34.8319
15740 -120.247 34.8472
15741 -120.256 34.8523
15742 -120.262 34.8542
15743 -120.263 34.8597
15744 -120.262 34.8625
15592 -120.384 34.8631
15372 -120.432 34.8633
15371 -120.427 34.8697
15745 -120.242 34.8749
15363 -120.429 34.8773
new_group 67
20710 -116.947 32.7381
20793 -117.053 32.7384
20675 -117.107 32.7394
20708 -116.939 32.7408
20706 -116.922 32.7419
20711 -116.956 32.7426
20707 -116.929 32.7428
20705 -116.915 32.7448
20674 -117.112 32.7455
20794 -117.037 32.7474
20797 -116.988 32.7525
20795 -117.021 32.7538
20671 -117.105 32.7546
20796 -117.01 32.7561
20704 -116.902 32.7583
20673 -117.121 32.7587
20573 -117.133 32.7603
20561 -117.123 32.7628
20562 -117.122 32.763
20703 -116.889 32.764
20563 -117.116 32.7647
20564 -117.11 32.7648
20546 -117.107 32.765
20547 -117.08 32.7662
20549 -117.031 32.767
20548 -117.046 32.7674
20702 -116.885 32.7678
