the_total_ 596
new_group 65
34461 37.7213 -122.376
34459 37.7213 -122.376
34460 37.7213 -122.376
34470 37.7036 -122.35
34469 37.7036 -122.35
34467 37.453 -122.183
34464 37.453 -122.183
34468 37.453 -122.183
34463 37.453 -122.183
34465 37.453 -122.183
34466 37.453 -122.183
34471 37.4038 -122.142
34474 37.4038 -122.142
34472 37.4038 -122.142
34473 37.4038 -122.142
34475 37.4224 -122.088
34476 37.4224 -122.088
34462 34.0427 -118.328
34496 25.6571 -100.338
34478 30.261 -97.7362
34477 30.261 -97.7362
34458 33.4439 -94.0507
34457 33.4439 -94.0507
34533 41.9048 -87.6659
34530 41.9048 -87.6659
34531 41.9048 -87.6659
34529 41.9048 -87.6659
34532 41.9048 -87.6659
34515 41.5091 -81.5991
34514 41.5091 -81.5991
34516 41.5091 -81.5991
34517 35.8093 -78.8299
34455 35.8171 -78.6824
34456 35.8171 -78.6824
34454 35.8171 -78.6824
34453 35.8171 -78.6824
34513 38.9384 -77.2324
34511 38.8859 -77.1221
34512 38.8859 -77.1221
34510 38.8859 -77.1221
34545 38.8965 -77.0736
34543 38.8965 -77.0736
34539 38.8965 -77.0736
34542 38.8965 -77.0736
34541 38.8965 -77.0736
34544 38.8965 -77.0736
34538 38.8965 -77.0736
34540 38.8965 -77.0736
34524 38.9309 -77.054
34526 38.9309 -77.054
34525 38.9309 -77.054
34528 38.8971 -77.0537
34534 38.9029 -77.0465
34491 38.9236 -77.0437
34492 38.9236 -77.0437
34546 39.2827 -76.6747
34547 39.2827 -76.6747
34523 40.0012 -75.2013
34403 40.7372 -73.9905
34401 40.7372 -73.9905
34391 40.7301 -73.9896
34427 40.7353 -73.9879
34425 40.7353 -73.9879
34426 40.7353 -73.9879
34495 40.7556 -73.9729
new_group 79
39489 42.358 -71.0769
39484 42.3246 -71.0698
39483 42.3604 -71.063
39449 43.3093 -70.9515
39443 43.6485 -70.3255
39455 43.7301 -70.2663
35948 10.4852 -66.8684
37907 10.4986 -66.8446
38541 10.4836 -66.8428
37704 18.335 -66.2735
37617 18.4089 -66.0347
37618 18.4089 -66.0347
37620 18.4089 -66.0347
37615 18.4089 -66.0347
37616 18.4089 -66.0347
37619 18.4089 -66.0347
37237 18.3885 -66.0214
39727 18.4028 -65.9967
37670 18.153 -65.854
14592 -15.5943 -56.0893
17779 -15.7894 -47.9134
14590 -22.8857 -47.0458
14475 -21.7903 -46.5718
15932 -23.2075 -45.8713
15933 -23.2075 -45.8713
19867 -19.9332 -43.9569
19869 -19.9332 -43.9569
19868 -19.9332 -43.9569
22278 -19.9336 -43.9395
22279 -19.9336 -43.9395
22276 -19.9336 -43.9395
22277 -19.9336 -43.9395
2185 -19.9484 -43.9387
16336 -19.9243 -43.9327
28049 -19.9132 -43.9252
28050 -19.9132 -43.9252
28051 -19.9132 -43.9252
19808 -23.0057 -43.3268
15283 -22.9949 -43.308
15363 -22.9458 -43.2699
36198 -22.9688 -43.2096
15077 -22.9573 -43.2064
15100 -22.9827 -43.1944
15099 -22.9827 -43.1944
15098 -22.9827 -43.1944
39965 30.2013 -97.7903
39966 41.9318 -87.666
39967 40.754 -73.9747
39968 40.7273 -73.9839
39969 40.7273 -73.9839
39970 40.7273 -73.9839
39971 40.7273 -73.9839
39972 40.7737 -73.9694
39973 37.7889 -122.387
39974 40.7598 -73.9822
39975 40.7228 -73.9839
39976 40.7228 -73.9839
39977 40.7228 -73.9839
39978 40.7228 -73.9839
39980 40.728 -74.0007
39981 40.728 -74.0007
39982 40.728 -74.0007
39983 45.5312 -122.645
39984 45.5312 -122.645
39985 45.5312 -122.645
39986 45.5312 -122.645
39987 45.5312 -122.645
39988 37.7905 -122.407
39989 37.7905 -122.407
39990 37.7905 -122.407
39991 35.2708 -81.0194
39992 28.3828 -81.558
39993 28.422 -81.106
39994 28.2938 -81.4058
39995 28.2938 -81.4058
39996 28.2938 -81.4058
39997 28.2938 -81.4058
39998 28.3741 -81.419
39999 28.3741 -81.419
new_group 67
39959 45.5241 -122.681
39960 45.5241 -122.681
39810 37.7923 -122.474
39821 37.7369 -122.433
39824 37.7845 -122.407
39813 37.7795 -122.396
39847 47.6311 -122.321
39851 37.3326 -122.032
39850 37.3326 -122.032
39849 37.3326 -122.032
39814 37.322 -122.008
39848 37.3518 -121.983
39823 33.7773 -117.96
39812 33.7555 -117.953
39962 33.7312 -117.94
39816 33.6964 -117.915
39817 33.6964 -117.915
39815 33.6964 -117.915
39826 33.7158 -117.903
39825 33.7158 -117.903
39827 33.7158 -117.903
39829 33.7158 -117.903
39828 33.7158 -117.903
39811 33.6997 -117.885
39773 34.0489 -117.748
39772 34.0489 -117.748
39819 34.1158 -117.272
39820 34.1158 -117.272
39818 34.1158 -117.272
39947 39.7403 -104.884
39964 30.2013 -97.7903
39963 30.2013 -97.7903
39833 30.4444 -97.7491
39834 30.4444 -97.7491
39831 30.4444 -97.7491
39832 30.4444 -97.7491
39835 30.3249 -97.7401
39839 30.3042 -97.7386
39838 30.3042 -97.7386
39837 30.3042 -97.7386
39836 30.3042 -97.7386
39854 30.3799 -97.7014
39857 30.3799 -97.7014
39853 30.3799 -97.7014
39852 30.3799 -97.7014
39855 30.3799 -97.7014
39856 30.3799 -97.7014
39954 32.8954 -96.7844
39953 32.8954 -96.7844
39955 32.8954 -96.7844
39957 33.0806 -96.6873
39958 33.0806 -96.6873
39956 33.0806 -96.6873
39952 33.6492 -96.6166
39950 33.6932 -96.6135
39949 33.6932 -96.6135
39951 33.6932 -96.6135
